"Property","City","State","Revenue_M","State_Total_M","Actual_WS_Pct","Gravity_WS_Pct","LN_WS_Pct","Gravity_Error_pp","LN_Error_pp","NA","NA","NA"
"Ocean Downs Casino","Berlin","MD",96.6,2051,4.71,7.05,4.87,7.9,224.5,2.34,0.16,3.19
"Hard Rock Hotel Casino Sioux City","Sioux City","IA",96,1765,5.44,5.07,6.47,4.57,39.8,-0.37,1.03,-0.87
"Grand Falls Casino Resort","Larchwood","IA",95,1765,5.38,6.01,3.77,6.38,55.7,0.63,-1.61,1
"Belterra Casino Resort","Florence","IN",91.8,2503,3.67,6.48,5.84,5.51,109.3,2.81,2.17,1.84
"Hollywood Casino Perryville","Perryville","MD",90.5,2051,4.41,5.39,12.63,4.89,138.3,0.98,8.22,0.48
"Belterra Park Gaming & Entertainment","Cincinnati","OH",88.7,2333,3.8,7.11,8.56,7.34,137.5,3.31,4.76,3.54
"Isle of Capri Boonville","Boonville","MO",88.5,1905,4.65,3.95,1.56,5.74,72.5,-0.7,-3.09,1.09
"French Lick Resort Casino","French Lick","IN",80.3,2503,3.21,5.88,4.02,5.44,108.1,2.67,0.81,2.23
"Batavia Downs Gaming","Batavia","NY",77.3,2646,2.92,1.85,2.24,1.4,53.5,-1.07,-0.68,-1.52
"Diamond Jo Casino Dubuque","Dubuque","IA",74.2,1765,4.21,3.56,4.69,2.91,25.3,-0.65,0.48,-1.3
"Isle Casino Hotel Bettendorf","Bettendorf","IA",73.7,1765,4.17,2.81,4.66,2.48,21.6,-1.36,0.49,-1.69
"Harrahs Council Bluffs","Council Bluffs","IA",73,1765,4.14,3.25,2.41,3.69,32.6,-0.89,-1.73,-0.45
"Century Casino Cape Girardeau","Cape Girardeau","MO",72.1,1905,3.78,4,3.91,4.54,57.3,0.22,0.13,0.76
"Hamburg Gaming","Hamburg","NY",70.9,2646,2.68,1.3,4.2,1.22,46.6,-1.38,1.52,-1.46
"Rocky Gap Casino Resort","Flintstone","MD",64.3,2051,3.14,5.23,6.4,3.83,108.2,2.09,3.26,0.69
"Q Casino","Dubuque","IA",51.7,1765,2.93,2.48,3.27,2.03,17.7,-0.45,0.34,-0.9
"Lakeside Hotel Casino","Osceola","IA",51.1,1765,2.89,3.67,6.43,3.14,27.3,0.78,3.54,0.25
"Century Casino Caruthersville","Caruthersville","MO",48.3,1905,2.54,6.54,1.1,7.23,91.4,4,-1.44,4.69
"St. Jo Frontier Casino","St. Joseph","MO",48.1,1905,2.53,2.37,3.8,2.44,30.6,-0.16,1.27,-0.09
"Catfish Bend Casino","Burlington","IA",44.9,1765,2.54,4.56,4.27,4.35,37.8,2.02,1.73,1.81
"Rising Star Casino Resort","Rising Sun","IN",44.5,2503,1.78,6.98,7.54,5.55,110.2,5.2,5.76,3.77
"Mark Twain Casino","La Grange","MO",38.5,1905,2.02,5.56,4.02,5.42,68.4,3.54,2,3.4
"Wild Rose Casino Jefferson","Jefferson","IA",35.9,1765,2.03,4.06,3.49,3.6,31.3,2.03,1.46,1.57
"Wild Rose Casino Clinton","Clinton","IA",33.2,1765,1.88,5.9,7.15,4.17,36.3,4.02,5.27,2.29
"Wild Rose Casino Emmetsburg","Emmetsburg","IA",30.9,1765,1.75,3.39,4.14,2.96,25.7,1.64,2.39,1.21
"Vernon Downs Casino Hotel","Vernon","NY",28.4,2646,1.07,2.28,1.78,1.82,69.8,1.21,0.71,0.75
"Lady Luck Casino Nemacolin","Farmington","PA",22.2,3228,0.69,4.05,2.57,3.39,98.5,3.36,1.88,2.7
"Casino Queen Marquette","Marquette","IA",21.4,1765,1.21,2.25,2.26,2.66,23.1,1.04,1.05,1.45
"Fortune Casino Renton","Renton","WA",20,220,9.09,2.73,0.6,2.59,5.8,-6.36,-8.49,-6.5
"Roman Casino","Seattle","WA",14.1,220,6.39,13.2,3.34,13.28,29.6,6.81,-3.05,6.89
"Fortune Casino Tukwila","Tukwila","WA",14,220,6.37,1.91,0.42,1.82,4,-4.46,-5.95,-4.55
"Last Frontier","LaCenter","WA",12,220,5.43,10.2,5.31,13.17,188,4.77,-0.12,7.74
"Great American Casino Everett","Everett","WA",11.8,220,5.34,6.2,30.42,4.46,62.7,0.86,25.08,-0.88
"Casino Caribbean Kirkland","Kirkland","WA",11.1,220,5.05,8.42,2.54,8.54,19,3.37,-2.51,3.49
"Crazy Moose Casino Pasco","Pasco","WA",9.9,220,4.49,1.56,0.24,1.68,3.7,-2.93,-4.25,-2.81
"Macau Casino Lakewood","Lakewood","WA",9.6,220,4.34,4.21,13.4,3.95,55.7,-0.13,9.06,-0.39
"Great American Casino Tukwila","Tukwila","WA",7.7,220,3.5,1.05,0.23,1,2.2,-2.45,-3.27,-2.5
"Black Pearl Restaurant and Card Room","Spokane","WA",7.6,220,3.46,3.03,0.72,3.41,7.5,-0.43,-2.74,-0.05
"The Palace LaCenter","LaCenter","WA",7.5,220,3.38,6.35,3.31,8.21,117.2,2.97,-0.07,4.83
"Fortune Casino Lacey","Lacey","WA",6.7,220,3.03,3.8,14.94,3.1,43.4,0.77,11.91,0.07
"Silver Dollar Casino Renton","Renton","WA",6.6,220,3.01,0.9,0.2,0.86,1.9,-2.11,-2.81,-2.15
"Coyote Bobs","Kennewick","WA",5.8,220,2.63,0.92,0.14,0.98,2.2,-1.71,-2.49,-1.65
"Casino Caribbean Yakima","Yakima","WA",5.7,220,2.58,1.09,0.26,0.89,1.9,-1.49,-2.32,-1.69
"Macau Casino Tukwila","Tukwila","WA",5.6,220,2.54,0.76,0.17,0.73,1.6,-1.78,-2.37,-1.81
"Roxys Bar and Grill","Seattle","WA",5.4,220,2.46,0.74,0.16,0.7,1.6,-1.72,-2.3,-1.76
"Nob Hill Casino","Yakima","WA",5.2,220,2.37,1,0.24,0.81,1.8,-1.37,-2.13,-1.56
"Crazy Moose Casino Mountlake Terrace","Mountlake Terrace","WA",5.2,220,2.37,4.19,1.17,4.21,9.3,1.82,-1.2,1.84
"All Star Casino","Silverdale","WA",4.7,220,2.12,3.15,1.13,2.4,5.3,1.03,-0.99,0.28
"Great American Casino Lakewood","Lakewood","WA",4.6,220,2.09,2.03,6.46,1.9,26.8,-0.06,4.37,-0.19
"Caribbean Cardroom","Kirkland","WA",4.4,220,1.99,3.31,1,3.36,7.5,1.32,-0.99,1.37
"Jokers Casino Sports Bar and Fiesta","Richland","WA",4.4,220,1.97,0.69,0.1,0.74,1.6,-1.28,-1.87,-1.23
"Silver Dollar Casino Mill Creek","Mill Creek","WA",4.3,220,1.95,3.45,0.96,3.47,7.7,1.5,-0.99,1.52
"Silver Dollar Casino SeaTac","SeaTac","WA",4.3,220,1.97,0.59,0.13,0.56,1.2,-1.38,-1.84,-1.41
"Buzz Inn Steakhouse East Wenatchee","East Wenatchee","WA",3.5,220,1.6,0.74,0.2,0.66,1.4,-0.86,-1.4,-0.94
"Clearwater Saloon and Casino","Wenatchee","WA",3.4,220,1.54,0.71,0.19,0.64,1.4,-0.83,-1.35,-0.9
"New Phoenix","LaCenter","WA",3.4,220,1.53,2.88,1.5,3.72,53.1,1.35,-0.03,2.19
"Lilac Lanes and Casino","Spokane","WA",2.5,220,1.16,1.01,0.24,1.14,2.5,-0.15,-0.92,-0.02
"Slo Pitch Pub and Eatery","Bellingham","WA",2.3,220,1.06,1.76,0.67,1.75,3.8,0.7,-0.39,0.69
"Papas Casino Restaurant and Lounge","Moses Lake","WA",1.8,220,0.83,1,0.38,0.85,1.8,0.17,-0.45,0.02
"Lancer Lanes Restaurant and Casino","Clarkston","WA",1.4,220,0.65,1.41,2.54,1.06,14.8,0.76,1.89,0.41
"Wild Goose Casino","Ellensburg","WA",1,220,0.45,1.25,0.29,0.93,2,0.8,-0.16,0.48
"Riverside Casino","Tukwila","WA",0.8,220,0.36,0.11,0.02,0.1,0.2,-0.25,-0.34,-0.26
"Zs Restaurant at Zeppoz","Pullman","WA",0.7,220,0.32,0.96,0.31,0.89,1.9,0.64,-0.01,0.57
"RCs at Valley Lanes","Sunnyside","WA",0.6,220,0.28,2.32,5.34,1.12,15.6,2.04,5.06,0.84
"Chips Casino Lakewood","Lakewood","WA",0.3,220,0.14,0.13,0.43,0.13,1.8,-0.01,0.29,-0.01
"Palace Casino Lakewood","Lakewood","WA",0.2,220,0.08,0.08,0.25,0.07,1,0,0.17,-0.01
"Goldies Shoreline Casino","Shoreline","WA",0.2,220,0.08,0.15,0.04,0.15,0.3,0.07,-0.04,0.07
