,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
                                                                                                 MONTHLY TABLE GAME REPORT 1,,,,,,,    MONTHLY TABLE GAME REPORT 1,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,,FY 2022/2023 Total,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,12,12,12,12,12,12,13,12,12,12,12,12,,,
Gross Revenue,"$339,723","$324,804","$254,382","$246,592","$409,461","$425,243","$500,316","$430,810","$373,286","$285,244","$377,230","$295,184",,"$4,262,274",
State Tax Due 2,"$47,561","$45,473","$35,613","$34,523","$57,325","$59,534","$70,044","$60,313","$52,260","$39,934","$52,812","$41,326",,"$596,718",
Local Share Assessment,"$6,794","$6,496","$5,088","$4,932","$8,189","$8,505","$10,006","$8,616","$7,466","$5,705","$7,545","$5,904",,"$85,245",
,,,,,,,,,,,,,,,
HARRAH'S PHILADELPHIA,,,,,,,,,,,,,,,
Total Table Games,81, 81 ,82,82,82,82,82,78,76,77,73,74,,,
Gross Revenue,"$3,487,408","$2,950,412","$2,652,688","$3,274,772","$2,656,223","$3,020,905","$3,135,141","$2,865,251","$2,507,003","$2,783,532","$2,783,395","$2,521,051",,"$34,637,781",
State Tax Due 2,"$534,533","$449,862","$424,821","$500,184","$416,350","$497,034","$489,821","$437,593","$391,391","$436,750","$426,433","$383,360",,"$5,388,131",
Local Share Assessment,"$69,748","$59,008","$53,054","$65,495","$53,124","$60,418","$62,703","$57,305","$50,140","$55,671","$55,668","$50,421",,"$692,756",
Non-Banking Tables 3,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,76,76,76,76,76,76,76,72,69,69,65,63,,,
Gross Revenue,"$3,351,245","$2,842,165","$2,495,497","$3,152,079","$2,525,404","$2,802,942","$2,985,431","$2,758,021","$2,382,625","$2,579,945","$2,622,150","$2,391,251",,"$32,888,754",
State Tax Due 2,"$469,174","$397,903","$349,370","$441,291","$353,557","$392,412","$417,960","$386,123","$333,567","$361,192","$367,101","$334,775",,"$4,604,426",
Local Share Assessment,"$67,025","$56,843","$49,910","$63,042","$50,508","$56,059","$59,709","$55,160","$47,653","$51,599","$52,443","$47,825",,"$657,775",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,5,5,6,6,6,6,6,6,6,6,6,9,,,
Gross Revenue,"$136,163","$108,248","$157,191","$122,694","$130,819","$217,963","$149,710","$107,230","$118,854","$138,398","$108,112","$89,449",,"$1,584,830",
State Tax Due 2,"$65,358","$51,959","$75,452","$58,893","$62,793","$104,622","$71,861","$51,471","$57,050","$66,431","$51,894","$42,936",,"$760,718",
Local Share Assessment,"$2,723","$2,165","$3,144","$2,454","$2,616","$4,359","$2,994","$2,145","$2,377","$2,768","$2,162","$1,789",,"$31,697",
Hybrid Tables,0,0,0,0,0,0,0,0,0,2,2,2,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,"$5,524","$65,189","$53,133","$40,351",,"$164,197",
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$773,"$9,126","$7,439","$5,649",,"$22,988",
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$110,"$1,304","$1,063",$807,,"$3,284",
,,,,,,,,,,,,,,,
PRESQUE ISLE,,,,,,,,,,,,,,,
Total Table Games,42, 42 ,42,42,36,35,35,36,35,35,35,35,,,
Gross Revenue,"$1,141,025","$1,066,852","$1,421,120","$896,924","$967,355","$1,049,144","$908,336","$987,411","$910,855","$1,112,503","$994,073","$1,290,647",,"$12,746,246",
State Tax Due 2,"$159,743","$149,359","$198,957","$125,569","$135,430","$146,880","$127,167","$138,238","$127,520","$155,750","$139,170","$180,691",,"$1,784,474",
Local Share Assessment,"$22,821","$21,337","$28,422","$17,939","$19,347","$20,983","$18,167","$19,748","$18,217","$22,250","$19,881","$25,813",,"$254,925",
Non-Banking Tables 3,7,7,7,7,1,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,31,31,31,31,31,31,31,32,31,31,31,31,,,
Gross Revenue,"$1,000,822","$980,302","$1,283,336","$814,820","$865,399","$920,800","$844,279","$903,705","$808,330","$1,038,495","$938,388","$1,248,251",,"$11,646,929",
State Tax Due 2,"$140,115","$137,242","$179,667","$114,075","$121,156","$128,912","$118,199","$126,519","$113,166","$145,389","$131,374","$174,755",,"$1,630,570",
Local Share Assessment,"$20,016","$19,606","$25,667","$16,296","$17,308","$18,416","$16,886","$18,074","$16,167","$20,770","$18,768","$24,965",,"$232,939",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,4,4,4,4,4,4,4,4,4,4,4,4,,,
Gross Revenue,"$140,203","$86,551","$137,784","$82,104","$101,956","$128,344","$64,058","$83,706","$102,525","$74,008","$55,685","$42,396",,"$1,099,317",
State Tax Due 2,"$19,628","$12,117","$19,290","$11,495","$14,274","$17,968","$8,968","$11,719","$14,354","$10,361","$7,796","$5,935",,"$153,904",
Local Share Assessment,"$2,804","$1,731","$2,756","$1,642","$2,039","$2,567","$1,281","$1,674","$2,051","$1,480","$1,114",$848,,"$21,986",
,,,,,,,,,,,,,,,
HOLLYWOOD CASINO AT THE MEADOWS ,,,,,,,,,,,,,,,
Total Table Games,93, 93 ,93,99,104,104,103,102,102,101,100,100,,,
Gross Revenue,"$2,534,941","$2,306,450","$2,435,099","$1,539,211","$2,162,562","$2,016,412","$1,619,683","$2,208,063","$3,166,496","$2,391,749","$2,508,705","$2,742,769",,"$27,632,138",
State Tax Due 2,"$382,435","$330,930","$362,193","$240,128","$329,607","$336,577","$280,029","$351,677","$491,340","$379,049","$396,276","$439,298",,"$4,319,538",
Local Share Assessment,"$50,699","$46,129","$48,702","$30,784","$43,251","$40,328","$32,394","$44,161","$63,330","$47,835","$50,174","$54,855",,"$552,643",
Non-Banking Tables 3,14,14,14,14,14,14,14,14,14,14,14,14,,,
Gross Revenue,"$52,638","$49,127","$52,967","$57,038","$49,696","$51,628","$57,767","$54,340","$62,079","$61,691","$61,392","$61,635",,"$671,998",
State Tax Due 2,"$7,369","$6,878","$7,415","$7,985","$6,957","$7,228","$8,087","$7,608","$8,691","$8,637","$8,595","$8,629",,"$94,080",
Local Share Assessment,"$1,053",$983,"$1,059","$1,141",$994,"$1,033","$1,155","$1,087","$1,242","$1,234","$1,228","$1,233",,"$13,440",
Banking Tables 4,68,68,68,68,68,68,67,66,66,65,64,64,,,
Gross Revenue,"$2,368,021","$2,208,155","$2,288,453","$1,366,323","$1,949,649","$1,739,079","$1,370,875","$1,980,858","$2,914,687","$2,139,987","$2,300,217","$2,501,085",,"$25,127,389",
State Tax Due 2,"$331,523","$309,142","$320,383","$191,285","$272,951","$243,471","$191,922","$277,320","$408,056","$299,598","$322,030","$350,152",,"$3,517,835",
Local Share Assessment,"$47,360","$44,163","$45,769","$27,326","$38,993","$34,782","$27,418","$39,617","$58,294","$42,800","$46,004","$50,022",,"$502,548",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,8,8,8,14,17,17,17,17,17,17,17,17,,,
Gross Revenue,"$81,008","$23,609","$62,586","$72,465","$78,966","$159,645","$156,685","$125,142","$141,266","$130,013","$132,523","$162,677",,"$1,326,585",
State Tax Due 2,"$38,884","$11,332","$30,041","$34,783","$37,904","$76,630","$75,209","$60,068","$67,808","$62,406","$63,611","$78,085",,"$636,761",
Local Share Assessment,"$1,620",$472,"$1,252","$1,449","$1,579","$3,193","$3,134","$2,503","$2,825","$2,600","$2,650","$3,254",,"$26,532",
Hybrid Tables,3,3,3,4,5,5,5,5,5,5,5,5,,,
Gross Revenue,"$33,275","$25,559","$31,093","$43,384","$84,251","$66,060","$34,356","$47,723","$48,463","$60,058","$14,573","$17,372 ",,"$506,166",
State Tax Due 2,"$4,658","$3,578","$4,353","$6,074","$11,795","$9,248","$4,810","$6,681","$6,785","$8,408","$2,040","$2,432 ",,"$70,863",
Local Share Assessment,$665,$511,$622,$868,"$1,685","$1,321",$687,$954,$969,"$1,201",$291,$347 ,,"$10,123",
,,,,,,,,,,,,,,,
MOUNT AIRY,,,,,,,,,,,,,,,
Total Table Games,84, 84 ,84,84,84,84,84,84,75,72,72,72,,,
Gross Revenue,"$3,772,258","$3,561,987","$3,883,646","$3,190,849","$3,170,847","$3,231,778","$2,651,973","$2,607,449","$2,988,812","$3,503,360","$3,162,793","$2,678,194",,"$38,403,947",
State Tax Due 2,"$528,116","$498,678","$543,710","$446,719","$443,919","$452,449","$371,276","$365,043","$418,434","$490,470","$442,791","$374,947",,"$5,376,553",
Local Share Assessment,"$75,445","$71,240","$77,673","$63,817","$63,417","$64,636","$53,039","$52,149","$59,776","$70,067","$63,256","$53,564",,"$768,079",
Non-Banking Tables 3,12,12,12,12,12,12,12,12,10,9,9,9,,,
Gross Revenue,"$122,851","$115,551","$104,270","$99,396","$90,658","$93,472","$99,264","$89,053","$98,405","$85,787","$90,850","$94,107",,"$1,183,664",
State Tax Due 2,"$17,199","$16,177","$14,598","$13,915","$12,692","$13,086","$13,897","$12,467","$13,777","$12,010","$12,719","$13,175",,"$165,713",
Local Share Assessment,"$2,457","$2,311","$2,085","$1,988","$1,813","$1,869","$1,985","$1,781","$1,968","$1,716","$1,817","$1,882",,"$23,673",
Banking Tables 4,69,69,69,69,69,69,69,69,62,60,60,60,,,
Gross Revenue,"$3,537,969","$3,317,549","$3,673,277","$2,906,587","$3,009,723","$3,036,954","$2,409,840","$2,374,080","$2,787,158","$3,338,553","$2,933,367","$2,461,291",,"$35,786,348",
State Tax Due 2,"$495,316","$464,457","$514,259","$406,922","$421,361","$425,174","$337,378","$332,371","$390,202","$467,397","$410,671","$344,581",,"$5,010,089",
Local Share Assessment,"$70,759","$66,351","$73,466","$58,132","$60,194","$60,739","$48,197","$47,482","$55,743","$66,771","$58,667","$49,226",,"$715,727",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,3,3,3,3,3,3,3,3,3,3,3,3,,,
Gross Revenue,"$111,439","$128,887","$106,099","$184,866","$70,466","$101,353 ","$142,869 ","$144,316","$103,249","$79,019","$138,576","$122,797",,"$1,433,935",
State Tax Due 2,"$15,601","$18,044","$14,854","$25,881","$9,865","$14,189 ","$20,002 ","$20,204","$14,455","$11,063","$19,401","$17,192",,"$200,751",
Local Share Assessment,"$2,229","$2,578","$2,122","$3,697","$1,409","$2,027 ","$2,857 ","$2,886","$2,065","$1,580","$2,772","$2,456",,"$28,679",
,,,,,,,,,,,,,,,
PENN NATIONAL,,,,,,,,,,,,,,,
Total Table Games,69, 72 ,72,72,72,72,72,59,56,56,56,56,,,
Gross Revenue,"$1,700,697","$2,546,182","$2,167,471","$1,880,328","$2,072,760","$1,733,218","$2,618,003","$2,083,531","$2,603,090","$2,004,128","$2,388,626","$2,453,213",,"$26,251,247",
State Tax Due 2,"$238,098","$356,465","$303,446","$263,246","$290,186","$242,651","$401,684","$324,837","$394,258","$317,426","$377,993","$361,521",,"$3,871,811",
Local Share Assessment,"$34,014","$50,924","$43,349","$37,607","$41,455","$34,664","$52,360","$41,671","$52,062","$40,083","$47,773","$49,064",,"$525,025",
Non-Banking Tables 3,14,17,17,17,17,17,17,17,17,17,17,17,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,50,50,50,49,50,50,50,37,34,34,34,34,,,
Gross Revenue,"$1,595,906","$2,402,461","$2,076,026","$1,725,245","$1,912,777","$1,565,320","$2,345,476","$1,832,958","$2,366,288","$1,765,031","$2,120,665","$2,246,068",,"$23,954,221",
State Tax Due 2,"$223,427","$336,345","$290,644","$241,534","$267,789","$219,145","$328,367","$256,614","$331,280","$247,104","$296,893","$314,450",,"$3,353,591",
Local Share Assessment,"$31,918","$48,049","$41,521","$34,505","$38,256","$31,306","$46,910","$36,659","$47,326","$35,301","$42,413","$44,921",,"$479,085",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,"$103,422","$97,478","$87,722","$108,378","$128,194","$53,151",,"$578,342",
State Tax Due 2,$0,$0,$0,$0,$0,$0,"$49,642","$46,789","$42,106","$52,021","$61,533","$25,512",,"$277,604",
Local Share Assessment,$0,$0,$0,$0,$0,$0,"$2,068","$1,950","$1,754","$2,168","$2,564","$1,063",,"$11,567",
Hybrid Tables,5,5,5,5,5,5,5,5,5,5,5,5,,,
Gross Revenue,"$104,791","$143,720","$91,446","$155,083","$159,983","$167,898","$169,106","$153,095","$149,080","$130,720","$139,767","$153,995",,"$1,718,683",
State Tax Due 2,"$14,671","$20,121","$12,802","$21,712","$22,398","$23,506","$23,675","$21,433","$20,871","$18,301","$19,567","$21,559",,"$240,616",
Local Share Assessment,"$2,096","$2,874","$1,829","$3,102","$3,200","$3,358","$3,382","$3,062","$2,982","$2,614","$2,795","$3,080",,"$34,374",
,,,,,,,,,,,,,,,
WIND CREEK BETHLEHEM ,,,,,,,,,,,,,,,
Total Table Games,214, 214 ,214,214,214,214,218,220,220,220,216,214,,,
Gross Revenue,"$23,633,921","$17,770,846","$21,305,549","$19,659,622","$19,632,257","$20,025,422","$19,815,571","$14,920,128","$19,972,721","$21,557,564","$19,825,373","$18,603,501",,"$236,722,475",
State Tax Due 2,"$3,308,749","$2,487,918","$2,982,777","$2,752,347","$2,748,516","$2,803,559","$2,774,180","$2,088,818","$2,796,181","$3,018,059","$2,775,552","$2,604,490",,"$33,141,147",
Local Share Assessment,"$472,678","$355,417","$426,111","$393,192","$392,645","$400,508","$396,311","$298,403","$399,454","$431,151","$396,507","$372,070",,"$4,734,450",
Non-Banking Tables 3,14,14,14,14,14,14,18,20,20,20,20,20,,,
Gross Revenue,"$704,429","$563,692","$528,225","$541,398","$557,091","$572,749","$709,385","$635,076","$676,922","$656,591","$613,212","$623,401",,"$7,382,171",
State Tax Due 2,"$98,620","$78,917","$73,952","$75,796","$77,993","$80,185","$99,314","$88,911","$94,769","$91,923","$85,850","$87,276",,"$1,033,504",
Local Share Assessment,"$14,089","$11,274","$10,565","$10,828","$11,142","$11,455","$14,188","$12,702","$13,538","$13,132","$12,264","$12,468",,"$147,643",
Banking Tables 4,157,157,157,157,157,157,157,157,157,157,153,151,,,
Gross Revenue,"$21,883,433","$15,987,962","$19,780,566","$17,961,190","$17,975,180","$18,294,458","$18,328,757","$13,608,296","$18,358,174","$19,806,867","$18,311,163","$17,065,371",,"$217,361,419",
State Tax Due 2,"$3,063,681","$2,238,315","$2,769,279","$2,514,567","$2,516,525","$2,561,224","$2,566,026","$1,905,161","$2,570,144","$2,772,961","$2,563,563","$2,389,152",,"$30,430,599",
Local Share Assessment,"$437,669","$319,759","$395,611","$359,224","$359,504","$365,889","$366,575","$272,166","$367,163","$396,137","$366,223","$341,307",,"$4,347,228",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,43,43,43,43,43,43,43,43,43,43,43,43,,,
Gross Revenue,"$1,046,059","$1,219,192","$996,758","$1,157,033","$1,099,986","$1,158,216","$777,429","$676,756","$937,625","$1,094,106","$900,997","$914,728",,"$11,978,885",
State Tax Due 2,"$146,448","$170,687","$139,546","$161,985","$153,998","$162,150","$108,840","$94,746","$131,267","$153,175","$126,140","$128,062",,"$1,677,044",
Local Share Assessment,"$20,921","$24,384","$19,935","$23,141","$22,000","$23,164","$15,549","$13,535","$18,753","$21,882","$18,020","$18,295",,"$239,578",
,,,,,,,,,,,,,,,
THE RIVERS-PITTSBURGH,,,,,,,,,,,,,,,
Total Table Games,129, 129 ,129,129,129,134,136,136,136,136,136,136,,,
Gross Revenue,"$7,425,583","$6,404,752","$7,435,344","$7,303,858","$6,888,282","$8,689,176","$6,887,019","$6,992,482","$8,540,581","$8,572,759","$7,445,498","$6,218,342",,"$88,803,676",
State Tax Due 2,"$1,039,582","$896,665","$1,040,948","$1,022,540","$964,360","$1,216,485","$964,183","$978,947","$1,195,681","$1,200,186","$1,042,370","$870,568",,"$12,432,515",
Local Share Assessment,"$148,512","$128,095","$148,707","$146,077","$137,766","$173,784","$137,740","$139,850","$170,812","$171,455","$148,910","$124,367",,"$1,776,074",
Non-Banking Tables 3,30,30,30,30,30,30,30,30,30,30,30,30,,,
Gross Revenue,"$677,561","$548,952","$408,088","$492,436","$466,448","$516,780","$515,059","$497,376","$545,139","$488,396","$475,352","$482,533",,"$6,114,120",
State Tax Due 2,"$94,859","$76,853","$57,132","$68,941","$65,303","$72,349","$72,108","$69,633","$76,319","$68,375","$66,549","$67,555",,"$855,977",
Local Share Assessment,"$13,551","$10,979","$8,162","$9,849","$9,329","$10,336","$10,301","$9,948","$10,903","$9,768","$9,507","$9,651",,"$122,282",
Banking Tables 4,88,88,88,88,88,93,95,95,95,95,95,95,,,
Gross Revenue,"$6,443,852","$5,644,622","$6,777,435","$6,528,618","$6,230,068","$7,944,621","$6,167,175","$6,211,922","$7,577,208","$7,709,180","$6,718,552","$5,543,916",,"$79,497,169",
State Tax Due 2,"$902,139","$790,247","$948,841","$914,007","$872,210","$1,112,247","$863,404","$869,669","$1,060,809","$1,079,285","$940,597","$776,148",,"$11,129,604",
Local Share Assessment,"$128,877","$112,892","$135,549","$130,572","$124,601","$158,892","$123,344","$124,238","$151,544","$154,184","$134,371","$110,878",,"$1,589,944",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
